Frame Rate:,23.9760246510
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2200,00:01:31.758,2.2919198495370368,1.6939561631944444,1.4551052517361112,3.7266981336805554
2201,00:01:31.800,3.1174406828703702,2.57177734375,1.8313802083333333,4.949164496527778
2202,00:01:31.842,5.296269169560186,6.329318576388889,2.088623046875,7.470865885416667
2203,00:01:31.883,2.2831217447916665,1.4594184027777777,1.5067003038194444,3.8832465277777777
2204,00:01:31.925,2.488579644097222,1.9659288194444444,1.4892849392361112,4.010525173611111
2205,00:01:31.967,4.6271791811342595,5.756591796875,1.9621310763888888,6.162814670138889
2206,00:01:32.009,2.2705620659722223,1.5186631944444444,1.6179741753472223,3.675048828125
2207,00:01:32.050,2.8172743055555554,2.509060329861111,1.5594618055555556,4.38330078125
2208,00:01:32.092,4.56298828125,5.356499565972222,1.7624240451388888,6.570041232638889
2209,00:01:32.134,3.1334635416666665,2.5033637152777777,1.9146864149305556,4.982340494791667
2210,00:01:32.175,3.4428439670138893,3.4309895833333335,1.9651421440972223,4.932400173611111
2211,00:01:32.217,5.143762659143518,6.184950086805555,1.9988878038194444,7.247450086805555
2212,00:01:32.259,2.1602285879629632,1.3368598090277777,1.5363498263888888,3.6074761284722223
2213,00:01:32.301,3.4220106336805554,2.8512098524305554,2.0509440104166665,5.363878038194445
2214,00:01:32.342,6.356490523726852,8.047526041666666,2.64453125,8.37741427951389
2215,00:01:32.384,3.0530870225694446,2.1621636284722223,1.9151746961805556,5.081922743055555
2216,00:01:32.426,2.9267126012731484,2.524169921875,1.5813530815972223,4.674614800347222
2217,00:01:32.467,5.328929759837963,6.833197699652778,2.0927191840277777,7.060872395833333
2218,00:01:32.509,3.061586733217592,2.6400553385416665,2.001003689236111,4.543701171875
2219,00:01:32.551,3.610143590856481,3.1406792534722223,2.1550835503472223,5.53466796875
2220,00:01:32.592,5.638427734375,7.163113064236111,2.2468804253472223,7.505289713541667
2221,00:01:32.634,2.723117404513889,2.0228407118055554,1.8102213541666667,4.336290147569445
2222,00:01:32.676,4.244466145833333,4.076307508680555,2.456570095486111,6.200520833333333
2223,00:01:32.718,5.385669849537037,6.641194661458333,1.98193359375,7.533881293402778
2224,00:01:32.759,3.187626591435185,2.2755262586805554,2.012179904513889,5.275173611111111
2225,00:01:32.801,3.5870768229166665,3.06201171875,2.0864800347222223,5.612738715277778
2226,00:01:32.843,5.328170211226852,6.744601779513889,2.0841200086805554,7.155788845486111
2227,00:01:32.884,2.8757233796296298,2.1452094184027777,1.9896918402777777,4.492268880208333
2228,00:01:32.926,3.586850766782407,3.3370496961805554,1.9937065972222223,5.429796006944445
2229,00:01:32.968,5.285454644097222,6.581678602430555,2.1276041666666665,7.147081163194445
2230,00:01:33.010,2.9626374421296298,2.4039984809027777,2.0166558159722223,4.467258029513889
2231,00:01:33.051,4.67113353587963,5.434271918402778,2.1243760850694446,6.454752604166667
2232,00:01:33.093,3.7170591001157405,3.428982204861111,1.9632703993055556,5.758924696180555
2233,00:01:33.135,3.8785355179398153,3.6802300347222223,2.0880805121527777,5.867296006944445
2234,00:01:33.176,5.290111400462963,6.925048828125,1.9405381944444444,7.004747178819445
2235,00:01:33.218,2.924687138310185,2.3904622395833335,1.8497721354166667,4.533827039930555
2236,00:01:33.260,3.2029170283564814,2.6561143663194446,1.843505859375,5.109130859375
2237,00:01:33.302,5.562707971643519,6.973904079861111,2.1209581163194446,7.59326171875
